N error Abs(estim-exact) 1/sqrt(N)
250000 0.0558800435744828 0.00299590692474894 0.0545927745203722
255000 0.0554488877997931 0.00539819504519024 0.0540549015556261
260000 0.0548668008864043 0.00911816260482112 0.0535326197270286
265000 0.0543473696580778 0.00437156958071405 0.0530251900784954
270000 0.05401651678141 0.0633647564707616 0.0525319217752424
275000 0.0532423297368915 0.062813265347728 0.0520521681482949
280000 0.0528932405010875 0.0569662105059123 0.0515853231292601
285000 0.052508508060331 0.0375727194221724 0.0511308180306592
290000 0.0520970172422029 0.00170313717957704 0.0506881186329203
295000 0.0516083743728789 0.00701020941082753 0.050256722544101
300000 0.0513776739260323 0.0597381852749947 0.0498361568026686
305000 0.0506514781708004 0.00391012174990735 0.049425975697329
310000 0.0502131343688104 0.0496144417676234 0.0490257587810554
315000 0.0502356472069498 0.0648495946858212 0.0486351090591988
320000 0.0494453017000554 0.0551310694790583 0.0482536513339292
325000 0.0490685293989176 0.0190462481472835 0.0478810306893129
330000 0.048371629141706 0.0597581397874229 0.0475169111031217
335000 0.048579173898002 0.0401683407114959 0.0471609741730321
340000 0.0479813602572744 0.012685997872131 0.0468129179462392
345000 0.0474853167580898 0.0606594173618067 0.0464724558427067
350000 0.0475814768247909 0.057273392284948 0.0461393156633271
355000 0.0467502635187651 0.0680523571495417 0.0458132386751908
360000 0.0468469355973485 0.00943990452385535 0.0454939787669768
365000 0.0463158519686456 0.00214088351945563 0.0451813016682014
370000 0.0461072203597658 0.0180858456637871 0.0448749842266945
375000 0.0456383423084005 8.63734711522568E-05 0.0445748137392422
380000 0.0455680352254097 0.0451476308688541 0.0442805873308303
385000 0.0450763384747333 0.00504398447181842 0.0439921113783756
390000 0.0448957629789157 0.0278412986929233 0.043709200975223
395000 0.0444963720809243 0.0319697320082959 0.0434316794330453
400000 0.0442865285221934 0.000438844307188546 0.0431593778180956
405000 0.0440537454107844 0.00616657099395113 0.0428921345190482
410000 0.0438178057680565 0.038587381089247 0.0426297948439149
415000 0.0435982870359787 0.0651816071490572 0.0423722106437542
420000 0.0431007824777059 0.032438437852532 0.0421192399610928
425000 0.042855876222924 0.0106535492947497 0.0418707467011643
430000 0.0426627958784364 0.0262555630419943 0.0416266003242351
435000 0.0423794737153092 0.00262609511196743 0.0413866755574384
440000 0.0423983385400067 0.035459424373169 0.0411508521246703
445000 0.0420472254248484 0.0467845093650254 0.0409190144932248
450000 0.0417094983773745 0.0129975767837465 0.0406910516359569
455000 0.0415148347163014 0.0194491226188465 0.0404668568078595
460000 0.0411658940493924 0.0618121241014133 0.0402463273360345
465000 0.0410430854614229 0.0275813973105059 0.0400293644221192
470000 0.0408724689566533 0.0100562045377064 0.0398158729563028
475000 0.0406616635190356 0.00664922877175123 0.039605761342141
480000 0.040612851467018 0.0708690919467543 0.0393989413314318
485000 0.0402411268159921 0.0240462850559915 0.0391953278684798
490000 0.0399987881814523 0.00589686311831983 0.038994838943123
495000 0.0396816381965852 0.0678633962877022 0.0387973954519456
500000 0.0396245587737931 0.00854952399562237 0.0386029210671434
505000 0.0393120629776514 0.0459267058693982 0.0384113421125483
510000 0.0391265785601713 0.0198035533647261 0.0382225874463545
515000 0.0390821917297815 0.0461683661554311 0.0380365883501216
520000 0.0388616008676479 0.00688771894562379 0.0378532784236627
525000 0.0385968223052762 0.0156491430138725 0.0376725934854517
